새로 학습
2016-04-18 07:35:42,923 : INFO : loading Word2Vec object from gensimdata.model
2016-04-18 07:35:43,726 : INFO : setting ignored attribute syn0norm to None
2016-04-18 07:35:43,726 : INFO : setting ignored attribute cum_table to None
2016-04-18 07:35:44,063 : INFO : training model with 8 workers on 208235 vocabulary and 30 features, using sg=0 hs=0 sample=0.001 negative=5
2016-04-18 07:35:44,064 : INFO : expecting 11388 sentences, matching count from corpus used for vocabulary survey
2016-04-18 07:44:37,466 : INFO : PROGRESS: at 19.59% examples, 173316 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:38,467 : INFO : PROGRESS: at 19.71% examples, 174133 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:44:39,498 : INFO : PROGRESS: at 19.84% examples, 174926 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:44:43,556 : INFO : PROGRESS: at 19.96% examples, 174717 words/s, in_qsize 6, out_qsize 6
2016-04-18 07:46:48,298 : INFO : PROGRESS: at 20.00% examples, 143162 words/s, in_qsize 0, out_qsize 3
2016-04-18 07:46:54,577 : INFO : PROGRESS: at 20.00% examples, 141692 words/s, in_qsize 3, out_qsize 5
2016-04-18 07:46:54,577 : INFO : PROGRESS: at 20.00% examples, 140839 words/s, in_qsize 3, out_qsize 4
2016-04-18 07:46:58,871 : INFO : PROGRESS: at 20.01% examples, 140004 words/s, in_qsize 0, out_qsize 2
2016-04-18 07:47:00,844 : INFO : PROGRESS: at 20.02% examples, 139631 words/s, in_qsize 0, out_qsize 3
2016-04-18 07:47:04,534 : INFO : PROGRESS: at 20.02% examples, 139423 words/s, in_qsize 0, out_qsize 4
2016-04-18 07:47:04,534 : INFO : PROGRESS: at 20.03% examples, 138930 words/s, in_qsize 0, out_qsize 3
2016-04-18 07:47:07,782 : INFO : PROGRESS: at 20.04% examples, 138571 words/s, in_qsize 0, out_qsize 1
2016-04-18 07:47:07,782 : INFO : PROGRESS: at 20.04% examples, 138346 words/s, in_qsize 0, out_qsize 0
2016-04-18 07:47:10,166 : INFO : PROGRESS: at 20.04% examples, 137970 words/s, in_qsize 6, out_qsize 3
2016-04-18 07:47:12,960 : INFO : PROGRESS: at 20.05% examples, 137620 words/s, in_qsize 0, out_qsize 6
2016-04-18 07:47:14,744 : INFO : PROGRESS: at 20.05% examples, 137226 words/s, in_qsize 2, out_qsize 11
2016-04-18 07:47:18,468 : INFO : PROGRESS: at 20.07% examples, 137011 words/s, in_qsize 3, out_qsize 14
2016-04-18 07:47:18,835 : INFO : PROGRESS: at 20.08% examples, 136409 words/s, in_qsize 2, out_qsize 18
2016-04-18 07:47:20,430 : INFO : PROGRESS: at 20.13% examples, 136557 words/s, in_qsize 10, out_qsize 5
2016-04-18 07:47:20,879 : INFO : PROGRESS: at 20.16% examples, 136512 words/s, in_qsize 13, out_qsize 6
2016-04-18 07:47:22,194 : INFO : PROGRESS: at 20.20% examples, 136564 words/s, in_qsize 8, out_qsize 7
2016-04-18 07:47:23,144 : INFO : PROGRESS: at 20.22% examples, 136523 words/s, in_qsize 6, out_qsize 4
2016-04-18 07:47:24,173 : INFO : PROGRESS: at 20.27% examples, 136621 words/s, in_qsize 12, out_qsize 6
2016-04-18 07:47:25,145 : INFO : PROGRESS: at 20.32% examples, 136786 words/s, in_qsize 14, out_qsize 7
2016-04-18 07:47:26,093 : INFO : PROGRESS: at 20.41% examples, 137198 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:27,095 : INFO : PROGRESS: at 20.54% examples, 137858 words/s, in_qsize 14, out_qsize 0
2016-04-18 07:47:28,134 : INFO : PROGRESS: at 20.68% examples, 138582 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:47:29,150 : INFO : PROGRESS: at 20.79% examples, 139155 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:47:30,154 : INFO : PROGRESS: at 20.93% examples, 139844 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:31,155 : INFO : PROGRESS: at 21.06% examples, 140547 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:47:32,179 : INFO : PROGRESS: at 21.19% examples, 141162 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:33,182 : INFO : PROGRESS: at 21.32% examples, 141841 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:34,219 : INFO : PROGRESS: at 21.45% examples, 142484 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:35,224 : INFO : PROGRESS: at 21.57% examples, 143105 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:36,231 : INFO : PROGRESS: at 21.70% examples, 143750 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:47:37,237 : INFO : PROGRESS: at 21.83% examples, 144390 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:47:38,248 : INFO : PROGRESS: at 21.94% examples, 144953 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:47:39,265 : INFO : PROGRESS: at 22.08% examples, 145615 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:40,265 : INFO : PROGRESS: at 22.21% examples, 146279 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:47:41,265 : INFO : PROGRESS: at 22.33% examples, 146882 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:42,271 : INFO : PROGRESS: at 22.47% examples, 147561 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:47:43,279 : INFO : PROGRESS: at 22.60% examples, 148207 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:47:44,317 : INFO : PROGRESS: at 22.71% examples, 148737 words/s, in_qsize 16, out_qsize 0
